Date,PPG,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Retailer,Segment,Sub.Segment,Brand,Sub.Brand,Packsize,Product.Type,APN,Vol.Sales,Wtd.Selling.Dist,PPG_Retailer,Price,WeekNum,Month,Quarter,Year,Month_Year
2018-08-19,Promo.Group 20,0,1,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,99.0,Product.Type 3,APN 168,0.0,0.0,Promo.Group 20__Retailer 0,0.01395671705487257,33,8,3,2018,8__2018
2018-08-19,Promo.Group 20,0,1,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,220.0,Product.Type 3,APN 173,1.56838,97.8,Promo.Group 20__Retailer 0,0.014912278911998367,33,8,3,2018,8__2018
2018-08-19,Promo.Group 20,0,1,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,220.0,Product.Type 3,APN 175,0.0,0.0,Promo.Group 20__Retailer 0,0.01395671705487257,33,8,3,2018,8__2018
2018-08-19,Promo.Group 20,0,1,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,220.0,Product.Type 3,APN 177,0.01694,5.1,Promo.Group 20__Retailer 0,0.0176741440377804,33,8,3,2018,8__2018
2018-08-19,Promo.Group 20,0,1,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,200.0,Product.Type 3,APN 178,0.0006,0.5,Promo.Group 20__Retailer 0,0.02,33,8,3,2018,8__2018
2018-08-19,Promo.Group 20,0,1,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,220.0,Product.Type 3,APN 179,0.0,0.0,Promo.Group 20__Retailer 0,0.01395671705487257,33,8,3,2018,8__2018
2018-08-19,Promo.Group 20,0,1,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,220.0,Product.Type 3,APN 182,0.0,0.0,Promo.Group 20__Retailer 0,0.01395671705487257,33,8,3,2018,8__2018
2018-08-19,Promo.Group 20,0,1,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,99.0,Product.Type 3,APN 183,0.0,0.0,Promo.Group 20__Retailer 0,0.01395671705487257,33,8,3,2018,8__2018
2018-08-19,Promo.Group 20,0,1,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,220.0,Product.Type 3,APN 184,2.3661,99.8,Promo.Group 20__Retailer 0,0.015279721905244917,33,8,3,2018,8__2018
2018-08-19,Promo.Group 20,0,1,0,0,0,0,Retailer 0,Sharepacks,,Brand 1,Sub.Brand 63,210.0,Product.Type 3,APN 581,0.0,0.0,Promo.Group 20__Retailer 0,0.01395671705487257,33,8,3,2018,8__2018
2018-08-26,Promo.Group 20,1,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,220.0,Product.Type 3,APN 160,0.0,0.0,Promo.Group 20__Retailer 0,0.01395671705487257,34,8,3,2018,8__2018
2018-08-26,Promo.Group 20,1,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,220.0,Product.Type 3,APN 161,0.0,0.0,Promo.Group 20__Retailer 0,0.01395671705487257,34,8,3,2018,8__2018
2018-08-26,Promo.Group 20,1,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,220.0,Product.Type 3,APN 164,3.02236,97.8,Promo.Group 20__Retailer 0,0.012830939067483687,34,8,3,2018,8__2018
2018-08-26,Promo.Group 20,1,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,99.0,Product.Type 3,APN 165,0.0,0.0,Promo.Group 20__Retailer 0,0.01395671705487257,34,8,3,2018,8__2018
