display_bronze,display_platinum,within_promo_ins,within_display_gold,within_display_bronze,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,promo_catalogue,display_silver,display_gold,cross_box_display_bronze,cross_box_promo_ins,promo_ins,Vol.Sales
0.0,0.0,0.0,0.0,0.4945054945054945,0.0,0.0,0.0,1.0,0.3397565922920892,0.0,0.6336269889512405,0.0,0.0,0.0,0.0,0.0,0.0,0.8411214953271028,0.0,0.0,1.5877418181818184
0.0,0.0,0.06593406593406585,0.34065934065934056,0.0,0.0,0.0,0.0,0.0,0.5480054090601757,0.0,0.9378450845349806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9940699126092384,1.0,1.53112
0.0,0.0,0.7252747252747253,0.0,0.4945054945054945,1.0,0.0,0.0,0.0,0.3427991886409735,1.0,0.9984229381090217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.39324
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033806626098698,0.0,0.7719786344347415,0.0,0.9793814432989691,0.0,0.0,0.0,0.0,0.1619047619047619,0.0,0.0,1.2817054545454545
0.0,0.0,0.34420787545787546,0.0,0.9993131868131868,0.0,0.0,0.0,0.0,0.3313049357674104,0.0,0.8590046908928763,1.0,0.0,0.0,0.0,0.0,0.0,0.1388888888888889,0.16385767790262173,0.0,1.0585490909090909
0.0,0.0,0.0,0.0,0.0,0.5604395604395604,0.0,0.6263736263736264,0.0,0.5148749154834348,0.0,0.610840260323509,0.0,0.0,0.34065934065934056,0.0,0.0,0.0,0.0,0.0,0.0,1.6925745454545456
0.0,0.0,0.06662087912087912,0.0,0.34420787545787546,0.0,1.0,0.0,0.0,0.3407707910750507,0.0,0.8959479060555267,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,1.0,1.7575309090909093
0.0,0.0,0.0,0.0,0.0,0.18681318681318682,0.0,0.0,0.0,0.9939148073022311,0.0,0.8339594976624958,0.0,0.5060137457044672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.859778181818182
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7633536173089926,0.0,0.15163534919731392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5024968789013732,0.0,1.7897545454545456
0.0,0.0,0.0,0.0,0.4945054945054945,0.0,0.0,0.0,0.0,0.8826910074374578,0.0,0.46944442091765515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9940699126092384,0.0,1.4627636363636365
0.0,0.0,0.06593406593406585,0.0,0.0,0.0,0.0,0.0,0.0,0.5584854631507775,0.0,0.9387828979447455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7521818181818183
