promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Packsize,Wtd.Selling.Dist,WeekNum,Month,Product.Type_Product.Type 3,Vol.Sales
0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.004,0.0,0.5440604630686356,0.0,0.00026
1.0,0.0,0.0,0.0,1.0,0.0,0.38095238095238093,0.0,0.3349598750574374,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.4285714285714286,0.0,0.3607655715778827,0.1001976870175808,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.4285714285714286,0.0,0.0,0.5440604630686356,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.006,0.14280487874014508,0.5547109406447217,0.0,0.00044
0.0,0.0,0.0,0.0,0.0,0.0,0.4761904761904763,0.9990000000000001,0.01616193206717581,0.0,0.0,1.92072
0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.983,0.13197885965322392,0.36639852944189766,0.0,1.443
0.0,0.0,0.0,0.0,0.0,0.0,0.4285714285714286,0.0,0.012267259444508752,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.38095238095238093,0.0,0.22298750130425615,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.5714285714285714,1.0,0.11583412083280815,0.07278704844727868,0.0,6.07412
1.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.0,0.11299256763614966,0.6370942635869541,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.4285714285714286,0.0,0.28951375123532463,0.07278704844727868,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.38095238095238093,0.0,0.20910229190586976,0.6250707132686077,0.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.4761904761904763,0.0,0.4127924462864665,0.4150025323459694,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.9990000000000001,0.09090051248891608,0.5547109406447217,0.0,0.86702
0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.0,0.052775210977538775,0.6250707132686077,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.998,0.05734905573618636,0.36639852944189766,0.0,1.33958
0.0,0.0,0.0,0.0,0.0,0.0,0.4761904761904763,0.9990000000000001,0.08139930068064598,0.5547109406447217,1.0,1.50408
0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.995,0.47924337409362106,0.6250707132686077,0.0,1.73654
1.0,0.0,0.0,0.0,1.0,0.0,0.4761904761904763,1.0,0.33811079205613087,0.30930977890333167,0.0,9.77256
1.0,0.0,1.0,0.0,0.0,0.0,0.38095238095238093,0.0,0.59011803541638,0.36639852944189766,0.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.38095238095238093,0.997,0.29530406178399937,0.5440604630686356,0.0,2.06096
0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.139,0.01616193206717581,0.0,0.0,0.00676
1.0,0.0,1.0,0.0,0.0,0.0,0.5714285714285714,0.9570000000000001,0.7117174138009223,0.5440604630686356,0.0,4.61136
1.0,0.0,1.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.6699081910250867,0.46202214084478355,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.4761904761904763,0.0,0.09090051248891608,0.5547109406447217,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.9990000000000001,0.11299256763614966,0.6370942635869541,0.0,0.87296
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9243405525225314,0.6370942635869541,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.04716595956824764,0.1001976870175808,0.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.4285714285714286,0.0,0.22298750130425615,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.4761904761904763,1.0,0.21288218692767685,0.36639852944189766,0.0,5.86608
1.0,0.0,0.0,1.0,0.0,0.0,0.4761904761904763,1.0,0.8438912146283387,0.5547109406447217,0.0,12.19368
0.0,0.0,0.0,0.0,0.0,0.0,0.4285714285714286,0.0,0.10704187692915755,0.46202214084478355,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.004,0.012267259444508752,0.0,0.0,0.00022
1.0,0.0,0.0,0.0,1.0,0.0,0.4285714285714286,0.0,0.24543442734108745,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.4761904761904763,0.0,0.11583412083280815,0.07278704844727868,0.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.38095238095238093,0.995,0.3308847606071945,0.30930977890333167,0.0,2.65584
0.0,0.0,0.0,0.0,0.0,0.0,0.4761904761904763,0.9590000000000001,0.10357710652917206,0.30930977890333167,0.0,2.75496
0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.0,0.13197885965322392,0.36639852944189766,0.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.4761904761904763,1.0,0.4223445920311406,1.0,0.0,10.38
1.0,0.0,1.0,0.0,0.0,0.0,0.5714285714285714,0.9500000000000001,0.8438912146283387,0.5547109406447217,1.0,3.1525
1.0,0.0,0.0,0.0,0.0,1.0,0.38095238095238093,1.0,0.3279071915889888,0.4150025323459694,0.0,4.07726
0.0,0.0,0.0,0.0,0.0,0.0,0.4285714285714286,0.0,0.0,0.5440604630686356,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.4761904761904763,0.0,0.052775210977538775,0.6250707132686077,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.956,0.02220474107937047,0.0,0.0,0.572
0.0,0.0,0.0,0.0,0.0,0.0,0.4285714285714286,0.0,0.05512586703188431,0.30930977890333167,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.0,0.13861406941156912,0.07278704844727868,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.001,0.012267259444508752,0.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.38095238095238093,0.0,0.22298750130425615,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.4761904761904763,0.0,0.09090051248891608,0.5547109406447217,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.0,0.11583412083280815,0.07278704844727868,0.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.2857142857142857,0.924,0.14395780137397712,0.6370942635869541,0.0,2.031
0.0,0.0,0.0,0.0,0.0,0.0,0.4761904761904763,1.0,0.09090051248891608,0.5547109406447217,1.0,1.44024
0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.0,0.21288218692767685,0.36639852944189766,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.0,0.012267259444508752,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.4761904761904763,0.9990000000000001,0.13861406941156912,0.07278704844727868,0.0,4.10544
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03556410862027297,1.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0,0.5714285714285714,1.0,0.6699081910250867,0.46202214084478355,0.0,25.2733
0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.9940000000000001,0.0,0.5440604630686356,0.0,0.56408
0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.98,0.08139930068064598,0.5547109406447217,1.0,0.5445
0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.961,0.02220474107937047,0.0,0.0,0.6747
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.019453571061726654,0.46202214084478355,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.2857142857142857,0.903,0.10704187692915755,0.46202214084478355,0.0,0.5902
0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.10357710652917206,0.30930977890333167,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.0,0.14280487874014508,0.5547109406447217,0.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.59011803541638,0.36639852944189766,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,1.0,0.13197885965322392,0.36639852944189766,0.0,4.01778
0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.483,0.02220474107937047,0.0,0.0,0.03762
0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.006,0.03556410862027297,1.0,0.0,0.00044
1.0,0.0,0.0,0.0,0.0,0.0,0.4761904761904763,0.0,0.11299256763614966,0.6370942635869541,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.5714285714285714,0.033,1.0,1.0,0.0,0.00416
1.0,0.0,0.0,0.0,1.0,0.0,0.4761904761904763,0.998,0.3349598750574374,0.0,0.0,6.24144
0.0,0.0,0.0,0.0,0.0,0.0,0.4285714285714286,0.0,0.03556410862027297,1.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.38095238095238093,0.001,0.9243405525225314,0.6370942635869541,0.0,0.00022
0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.0,0.04716595956824764,0.1001976870175808,0.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.38095238095238093,0.0,0.3349598750574374,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.9990000000000001,0.0,0.5440604630686356,0.0,0.88556
0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.0,0.03556410862027297,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.5714285714285714,0.9570000000000001,0.20910229190586976,0.6250707132686077,0.0,2.0267
0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.9990000000000001,0.04716595956824764,0.1001976870175808,0.0,0.9185
0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.8840000000000001,0.01616193206717581,0.0,0.0,0.39842
0.0,0.0,0.0,0.0,0.0,0.0,0.4285714285714286,0.0,0.14395780137397712,0.6370942635869541,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.886,0.012267259444508752,0.36639852944189766,0.0,0.41536
0.0,0.0,0.0,0.0,0.0,0.0,0.4285714285714286,0.0,0.05734905573618636,0.36639852944189766,0.0,0.0
