display_bronze,within_display_gold,cross_box_Price,within_display_bronze,cross_box_Wtd.Selling.Dist,cross_box_promo_catalogue,promo_ins,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,within_Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,promo_catalogue,display_silver,display_gold,cross_box_display_bronze,cross_box_promo_ins,display_platinum,Vol.Sales
0.0,0.0,0.5430616015125551,0.0,0.267873723305478,0.0,0.0,0.0,0.0,0.0,0.0,0.44440894568690115,0.09579199452617182,0.0,0.6956858581510361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4774293333333333
0.0,0.0,0.6258246043386162,0.14655515730784544,0.37160813613446875,0.1331005443154975,0.0,0.0,0.0,0.0,0.0,0.06709265175718859,0.5538829969209722,0.0,0.7973656286069915,0.0,0.0,0.0,0.0,0.0,0.0,0.1331005443154975,0.0,0.0,0.21818133333333334
0.0,0.0,0.8659445882879471,0.0,0.9563602599814298,0.0,0.0,0.0,0.0,0.0,0.0,0.9651757188498404,0.15378036264112271,0.0,0.692137998787477,0.0,0.5921052631578947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5138320000000001
0.0,0.0,0.6746310751717424,0.0,0.876624883936862,0.0,0.0,0.4945054945054945,0.0,0.0,0.0,0.876357827476038,0.04909339719466299,0.0,0.15668036228290205,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5844155844155845,0.0,1.1877946666666666
0.0,0.0,0.6099790540432952,0.0,0.8476969602304778,0.3438430728150354,0.0,0.0,0.0,0.3438430728150354,0.0,0.8236421725239613,0.03164556962025333,0.0,0.7124349454658336,0.0,0.2236842105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.436832
0.0,0.0,0.4061372157252938,0.0,0.4555478180129997,0.0,0.0,0.0,0.0,0.0,0.0,0.15358283888635338,0.7375983578515228,0.0,0.11262858700267442,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.617282857142857
0.0,0.2151532677848467,0.32631394879700437,0.0,0.0017409470752087763,0.3406593406593406,1.0,0.0,0.0,0.3406593406593406,0.0,0.05111821086262003,0.533100495125812,1.0,0.7903197334778298,0.0,0.9950838635049161,0.0,0.0,0.0,0.0,0.0,0.20779220779220775,1.0,0.5467960000000001
0.0,0.0,0.6273275047313067,0.0,0.32718198700092893,0.3406593406593406,1.0,0.0,0.0,0.3406593406593406,0.0,0.4555910543130992,0.1394115634621964,0.0,0.7520741858212983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45909599999999995
0.0,0.0,0.34245992623288934,0.0,0.5598885793871871,0.6593406593406593,0.0,0.4945054945054945,0.0,0.0,0.0,0.09041533546325908,0.9953814574067743,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2207792207792208,0.0,0.33019200000000004
1.0,0.0,0.5901902047067722,0.9259259259259258,0.719537222641641,0.6655027215774879,1.0,0.6655027215774879,0.0,0.0,0.0,0.12971246006389792,0.7165211441491031,0.0,0.44892794139809133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6521093333333333
1.0,0.0,0.5938333094524388,0.9259259259259258,0.5340064995357476,0.4945054945054945,0.0,0.0,0.0,0.0,1.0,0.3782747603833867,0.7286252956313506,0.0,0.345353135978395,0.0,0.0,0.0,1.0,0.0,0.0,0.4945054945054945,0.0,0.0,0.73094
1.0,0.0,0.04651732605587,0.9281826629496881,0.8146612691883823,0.3438430728150354,1.0,0.0,0.3438430728150354,0.0,1.0,0.09648562300319496,0.5080396852548756,0.0,0.3452362851398316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5873266666666667
0.0,0.0,0.0,0.0,0.5682993604595663,0.9982540823662319,0.0,0.6544110095511964,0.3438430728150354,0.0,1.0,0.3789137380191694,0.7865206979131041,0.0,0.5914158444837385,0.0,0.0,0.4078947368421052,1.0,1.0,0.0,0.0,0.0,0.0,0.7231986666666667
0.0,0.0,0.3396081421940469,0.5495818399044206,0.5307567316620241,0.6593406593406593,0.0,0.0,0.0,0.6593406593406593,0.0,0.37667731629392964,0.652411905576463,0.0,0.8243147711328662,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4426253333333333
0.0,1.0,0.5661544176954463,0.0,0.3440111420612819,0.6593406593406593,1.0,0.0,0.0,0.0,0.0,0.07476038338658153,0.5104344851180294,0.0,0.49972659936944197,0.0,0.0,0.0,0.0,0.0,1.0,0.6593406593406593,0.0,0.0,0.531652
0.0,0.0,0.6051891756387944,0.0,0.6999767873723304,0.3406593406593406,1.0,0.0,0.0,0.3406593406593406,0.0,0.1693290734824282,0.6158056790968187,0.0,0.3922555096350364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761093333333334
0.0,0.0,1.0,0.0,0.7139043639740015,0.0,0.0,0.0,0.0,0.0,0.0,0.2942492012779554,0.5624358535750948,0.0,0.01006026407308136,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.4654773333333333
0.0,0.2236842105263158,0.14280334523452076,0.0,0.9034354688950792,1.0,0.0,0.0,1.0,0.0,0.0,0.10191693290734816,0.6589120766335963,0.0,0.7867486483419439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.242336
1.0,0.0,0.48299461844552916,0.0,0.7463640781332712,0.6544110095511964,1.0,0.0,0.0,0.0,0.0,0.713418530351438,0.48443380088949795,0.0,0.2261649447092844,1.0,0.0,0.0,0.0,0.0,0.0,0.9982540823662319,0.40635999514504184,0.0,1.3223613333333333
0.0,0.0,0.6539916836037554,0.0,0.6285979572887652,0.0,1.0,0.0,0.0,0.0,0.0,0.5878594249201279,0.0,0.0,0.41486209243250416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.760804
