Date,PPG,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Retailer
2020-04-26,Promo.Group 5,0,0,0,0,0,0,Retailer 0
2020-05-03,Promo.Group 3,0,1,0,1,0,0,Retailer 0
2020-05-03,Promo.Group 19,0,0,0,0,0,0,Retailer 0
2020-05-03,Promo.Group 20,0,0,0,0,0,0,Retailer 0
2020-05-03,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2020-05-03,Promo.Group 6,0,0,0,0,0,0,Retailer 0
2020-05-03,Promo.Group 5,0,0,0,0,0,0,Retailer 0
2020-05-10,Promo.Group 3,0,0,0,0,0,0,Retailer 0
2020-05-10,Promo.Group 19,0,0,0,0,0,0,Retailer 0
2020-05-10,Promo.Group 20,0,0,0,0,0,0,Retailer 0
2020-05-10,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2020-05-10,Promo.Group 6,1,0,0,0,1,0,Retailer 0
2020-05-10,Promo.Group 5,0,0,0,0,0,0,Retailer 0
2020-05-17,Promo.Group 3,1,0,0,0,0,1,Retailer 0
2020-05-17,Promo.Group 19,0,0,0,0,0,0,Retailer 0
2020-05-17,Promo.Group 20,1,0,0,0,0,1,Retailer 0
2020-05-17,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2020-05-17,Promo.Group 6,0,0,0,0,0,0,Retailer 0
2020-05-17,Promo.Group 5,0,0,0,0,0,0,Retailer 0
2020-05-24,Promo.Group 3,0,0,0,0,0,0,Retailer 0
2020-05-24,Promo.Group 19,0,0,0,0,0,0,Retailer 0
2020-05-24,Promo.Group 20,0,0,0,0,0,0,Retailer 0
2020-05-24,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2020-05-24,Promo.Group 6,1,0,0,0,0,1,Retailer 0
2020-05-24,Promo.Group 5,0,0,0,0,0,0,Retailer 0
2020-05-31,Promo.Group 3,1,0,0,1,0,0,Retailer 0
2020-05-31,Promo.Group 19,0,0,0,0,0,0,Retailer 0
2020-05-31,Promo.Group 20,1,0,0,1,0,0,Retailer 0
2020-05-31,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2020-05-31,Promo.Group 6,0,0,0,0,0,0,Retailer 0
2020-05-31,Promo.Group 5,0,0,0,0,0,0,Retailer 0
2020-06-07,Promo.Group 3,0,1,0,0,0,1,Retailer 0
2020-06-07,Promo.Group 19,0,0,0,0,0,0,Retailer 0
2020-06-07,Promo.Group 20,0,1,0,0,0,1,Retailer 0
2020-06-07,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2020-06-07,Promo.Group 6,1,0,0,0,1,0,Retailer 0
2020-06-07,Promo.Group 5,0,0,0,0,0,0,Retailer 0
2020-06-14,Promo.Group 3,1,0,0,0,0,1,Retailer 0
2020-06-14,Promo.Group 19,0,0,0,0,0,0,Retailer 0
2020-06-14,Promo.Group 20,0,0,0,0,0,0,Retailer 0
2020-06-14,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2020-06-14,Promo.Group 6,0,0,0,0,0,0,Retailer 0
2020-06-14,Promo.Group 5,0,0,0,0,0,0,Retailer 0
2020-06-21,Promo.Group 3,0,0,0,0,0,0,Retailer 0
2020-06-21,Promo.Group 19,0,0,0,0,0,0,Retailer 0
2020-06-21,Promo.Group 20,0,0,0,0,0,0,Retailer 0
2020-06-21,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2020-06-21,Promo.Group 6,0,0,0,0,0,0,Retailer 0
2020-06-21,Promo.Group 5,0,0,0,0,0,0,Retailer 0
2020-06-28,Promo.Group 3,0,1,0,0,0,1,Retailer 0
2020-06-28,Promo.Group 19,0,0,0,0,0,0,Retailer 0
