PPG_Retailer_Variant,Model,Train_r2,Test_r2,Test_sMAPE,NumRows,NumCols,Promo_sparsity,Display_sparsity,Promotional_activity_sparsity,Sales_sparsity
Promo.Group 6__Retailer 0,LinearRegression_Positive,0.8368240940125353,0.8975760932174676,26.716778004068907,113,22,49.57,53.12,49.57,55.49
Promo.Group 6__Retailer 0,LassoRegression_Positive,0.8339897574162435,0.9014787823299665,25.76938220366324,113,22,49.57,53.12,49.57,55.49
Promo.Group 6__Retailer 0,ElasticNetRegression_Positive,0.8339897574162435,0.9014787823299665,25.76938220366324,113,22,49.57,53.12,49.57,55.49
Promo.Group 6__Retailer 1,LinearRegression,0.8883235461300599,0.3610319019962721,39.17246847948706,113,19,40.71,61.06,40.71,61.06
Promo.Group 6__Retailer 1,SGDRegression,0.803942961932902,0.5203914740649467,32.31905625422779,113,19,40.71,61.06,40.71,61.06
Promo.Group 6__Retailer 1,LassoRegression,0.883275542839872,0.4183325406641605,35.300224626853115,113,19,40.71,61.06,40.71,61.06
Promo.Group 6__Retailer 1,RidgeRegression,0.869144092465164,0.48042059946667204,35.211049474116194,113,19,40.71,61.06,40.71,61.06
Promo.Group 6__Retailer 1,BayesianRegression,0.8628110356757934,-1.0555206174625513,47.56889780267299,113,19,40.71,61.06,40.71,61.06
Promo.Group 6__Retailer 1,LinearRegression_Positive,0.8380195567592208,-0.012573111488146216,45.79466960995337,113,19,40.71,61.06,40.71,61.06
Promo.Group 6__Retailer 1,LassoRegression_Positive,0.8315566817739076,0.07421215568748385,40.13282241899833,113,19,40.71,61.06,40.71,61.06
Promo.Group 6__Retailer 1,ElasticNetRegression_Positive,0.8192138344748098,0.2988158322165323,40.03388989184788,113,19,40.71,61.06,40.71,61.06
