Model,display_bronze,within_display_gold,cross_box_Price,within_display_bronze,cross_box_Wtd.Selling.Dist,cross_box_promo_catalogue,promo_ins,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,within_Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,promo_catalogue,display_silver,display_gold,cross_box_display_bronze,cross_box_promo_ins,display_platinum,Constant,y_pred,y_true
LassoRegression,-0.0,0.0,-0.015609768397841858,-0.0,-0.0,0.09384170761234309,-0.0,0.0,-0.0,-0.030065623902459062,-0.0,0.10274980091226013,0.0,0.0,-1.0200996096701147,0.03504550602901821,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1914885970724731,0.3573506096556789,0.4426253333333333
LassoRegression,-0.0,0.0,-0.026022754579869,-0.0,-0.0,0.09384170761234309,-0.05987092601129339,0.0,-0.0,-0.0,-0.0,0.020393090257395163,0.0,0.0,-0.6184177777840338,0.0,-0.0,0.0,0.0,0.0,0.2094699085542843,0.0,0.0,0.0,1.1914885970724731,0.8108818451212995,0.531652
LassoRegression,-0.0,0.0,-0.02781695046405756,-0.0,-0.0,0.048484882266377254,-0.05987092601129339,0.0,-0.0,-0.01553390568293718,-0.0,0.04618947793341638,0.0,0.0,-0.4854209899935865,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1914885970724731,0.697520185120392,0.4761093333333334
LassoRegression,-0.0,0.0,-0.045964058155362704,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.08026511165410657,0.0,0.0,-0.012449699815550715,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42839739427497464,1.1914885970724731,1.641737345030641,1.4654773333333333
LassoRegression,-0.0,0.0,-0.006563821265139849,-0.0,-0.0,0.14232658987872035,-0.0,0.0,-0.0,-0.0,-0.0,0.027800836718414726,0.0,0.0,-0.9736110733271665,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1914885970724731,0.3814411290773019,0.242336
LassoRegression,-0.012590579748361457,0.0,-0.022200392730957523,-0.0,-0.0,0.09314008736851247,-0.05987092601129339,0.0,-0.0,-0.0,-0.0,0.19460585702890332,0.0,0.0,-0.27988188480710513,0.03504550602901821,-0.0,0.0,0.0,0.0,0.0,0.0,0.0066236717609155496,0.0,1.1914885970724731,1.146359935962105,1.3223613333333333
LassoRegression,-0.0,0.0,-0.030060111778286578,-0.0,-0.0,0.0,-0.05987092601129339,0.0,-0.0,-0.0,-0.0,0.16035592339148322,0.0,0.0,-0.5133969126571813,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1914885970724731,0.748516570017195,0.760804
LassoRegression,-0.0,0.0,-0.030402243038159756,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.01734284171462239,0.0,0.0,-0.843553859589713,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.01630000944987551,0.0,1.1914885970724731,0.35117534560909835,0.5114693333333333
LassoRegression,-0.0,0.0,-0.014042961050557003,-0.0,-0.0,0.14232658987872035,-0.0,0.0,-0.0,-0.0,-0.0,0.016732792006067858,0.0,0.0,-1.1095743433250476,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.003598703385037451,0.0,1.1914885970724731,0.23052937796669426,0.250652
LassoRegression,-0.0,0.0,-0.006190021478448394,-0.0,-0.0,0.048484882266377254,-0.05987092601129339,0.0,-0.0,-0.0,-0.0,0.009412195503413193,0.0,0.1967141049799333,-0.8848824488733992,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.003598703385037451,0.0,1.1914885970724731,0.4987550868440933,0.5056226666666667
